Year,UNIT_MEASURE,Type,Value
01 2019,CUR_NAC_1000,export,856 376
02 2019,CUR_NAC_1000,export,926443
03 2019,CUR_NAC_1000,export,989133
04 2019,CUR_NAC_1000,export,1034867
05 2019,CUR_NAC_1000,export,1028163
06 2019,CUR_NAC_1000,export,995601
07 2019,CUR_NAC_1000,export,1005663
08 2019,CUR_NAC_1000,export,844904
09 2019,CUR_NAC_1000,export,983719
01 2019,CUR_NAC_1000,import,1292899
02 2019,CUR_NAC_1000,import,1549613
03 2019,CUR_NAC_1000,import,1772859
04 2019,CUR_NAC_1000,import,1750450
05 2019,CUR_NAC_1000,import,1809099
06 2019,CUR_NAC_1000,import,1608480
07 2019,CUR_NAC_1000,import,1745495
08 2019,CUR_NAC_1000,import,1526382
09 2019,CUR_NAC_1000,import,1572606
01 2020,CUR_NAC_1000,export,855977
02 2020,CUR_NAC_1000,export,923256
03 2020,CUR_NAC_1000,export,848386
04 2020,CUR_NAC_1000,export,696198
05 2020,CUR_NAC_1000,export,736613
06 2020,CUR_NAC_1000,export,888104
07 2020,CUR_NAC_1000,export,874153
08 2020,CUR_NAC_1000,export,775220
09 2020,CUR_NAC_1000,export,977148
01 2020,CUR_NAC_1000,import,1235871
02 2020,CUR_NAC_1000,import,1567515
03 2020,CUR_NAC_1000,import,1483047
04 2020,CUR_NAC_1000,import,1133427
05 2020,CUR_NAC_1000,import,1183197
06 2020,CUR_NAC_1000,import,1416588
07 2020,CUR_NAC_1000,import,1511289
08 2020,CUR_NAC_1000,import,1306882
09 2020,CUR_NAC_1000,import,1483216